ENTREZID,ENSEMBL,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
56666,ENSG00000073150,PANX2,pannexin 2,1.013707271,5.436770854,8.326734946,0.000467721,0.005122986,-0.265309882
64864,ENSG00000181827,RFX7,regulatory factor X7,-1.538017464,3.807140288,-8.326330807,0.000467825,0.005122986,-0.030566352
8553,ENSG00000134107,BHLHE40,basic helix-loop-helix family member e40,1.139390993,7.242190716,8.32465594,0.000468257,0.00512574,-0.367810481
5605,ENSG00000126934,MAP2K2,mitogen-activated protein kinase kinase 2,1.303288604,7.732776796,8.323893269,0.000468454,0.005125919,-0.379339915
54946,ENSG00000114544,SLC41A3,solute carrier family 41 member 3,0.786137557,5.812477227,8.321248902,0.000469138,0.005130162,-0.301746887
7516,ENSG00000196584,XRCC2,X-ray repair cross complementing 2,-1.988937176,2.960754298,-8.320994762,0.000469203,0.005130162,0.15876238
11138,ENSG00000204634,TBC1D8,TBC1 domain family member 8,-1.361910641,5.860410636,-8.319866048,0.000469496,0.00513138,-0.299194987
6059,ENSG00000164163,ABCE1,ATP binding cassette subfamily E member 1,-0.695838959,5.756494095,-8.318889543,0.000469748,0.005132168,-0.299671074
3565,ENSG00000113520,IL4,interleukin 4,-3.074555488,-3.682971552,-8.31634921,0.000470407,0.005136318,0.674765674
10262,ENSG00000143368,SF3B4,splicing factor 3b subunit 4,0.475070431,6.946330065,8.31602958,0.00047049,0.005136318,-0.368014111
93129,ENSG00000175938,ORAI3,ORAI calcium release-activated calcium modulator 3,0.963534598,5.129086003,8.314125961,0.000470984,0.005139739,-0.244899686
5916,ENSG00000172819,RARG,retinoic acid receptor gamma,-0.466158091,6.191348773,-8.311789036,0.000471592,0.005143226,-0.334558424
29068,ENSG00000196323,ZBTB44,zinc finger and BTB domain containing 44,-0.817777956,5.103752216,-8.311504457,0.000471666,0.005143226,-0.246024622
83932,ENSG00000010072,SPRTN,SprT-like N-terminal domain,-0.656783647,4.310902145,-8.309377222,0.00047222,0.005145257,-0.152075561
5986,ENSG00000169733,RFNG,RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,1.034509678,6.005055255,8.308868932,0.000472353,0.005145257,-0.321065083
54953,ENSG00000157181,ODR4,odr-4 GPCR localization factor homolog,-0.927786856,4.778952964,-8.308703293,0.000472396,0.005145257,-0.209835157
9986,ENSG00000173653,RCE1,Ras converting CAAX endopeptidase 1,0.459027915,5.509711782,8.306950532,0.000472853,0.005147228,-0.290093728
5567,ENSG00000142875,PRKACB,protein kinase cAMP-activated catalytic subunit beta,-0.616108758,5.045783393,-8.306620829,0.00047294,0.005147228,-0.245939238
101927125,ENSG00000236081,ELFN1-AS1,ELFN1 antisense RNA 1,1.657943139,1.890567985,8.303981101,0.000473629,0.005151407,0.351761378
23285,NA,NA,NA,-1.308916037,3.075619154,-8.30376373,0.000473686,0.005151407,0.086993407
84852,ENSG00000203865,ATP1A1-AS1,ATP1A1 antisense RNA 1,-0.531141153,2.453441301,-8.02532352,0.000474015,0.005153003,0.139644768
493861,ENSG00000255150,EID3,EP300 interacting inhibitor of differentiation 3,-2.530163897,1.991423792,-8.300756216,0.000474474,0.005156024,0.379580456
25953,ENSG00000127838,PNKD,PNKD metallo-beta-lactamase domain containing,0.497646386,6.909909121,8.30001456,0.000474669,0.005156164,-0.377079743
84282,ENSG00000181481,RNF135,ring finger protein 135,0.779568208,3.940415107,8.298928619,0.000474953,0.005157286,-0.098899661
968,ENSG00000129226,CD68,CD68 molecule,0.806902221,6.486310848,8.296726749,0.000475532,0.005160319,-0.358733199
92344,ENSG00000120370,GORAB,"golgin, RAB6 interacting",-1.229907493,2.649360359,-8.295717586,0.000475797,0.005160319,0.16864666
23379,ENSG00000164151,ICE1,interactor of little elongation complex ELL subunit 1,-1.225120187,6.956569439,-8.295448077,0.000475868,0.005160319,-0.376192124
64072,ENSG00000107736,CDH23,cadherin related 23,-1.295847935,0.709567958,-8.29509997,0.00047596,0.005160319,0.547173811
84135,ENSG00000164338,UTP15,UTP15 small subunit processome component,-0.710105755,4.499982078,-8.293557868,0.000476366,0.00516275,-0.188149201
1594,ENSG00000111012,CYP27B1,cytochrome P450 family 27 subfamily B member 1,1.19902748,2.354514296,8.289683988,0.000477387,0.00516918,0.225226908
284716,ENSG00000177181,RIMKLA,ribosomal modification protein rimK like family member A,-2.629280411,2.002998867,-8.289330032,0.000477481,0.00516918,0.374724476
